日期,代码,名称,年管理费率,年托管费率,最新收盘价,60日均线,价格与60日均线关系,均线穿越,周MACD_DIF,周MACD_DEA,周MACD柱,MACD柱转向
2026-02-12,513020,国泰中证港股通科技ETF,0.50%,0.10%,1.102,1.1449,< 60日均线,,-0.0159,-0.0022,-0.0272,
2026-02-12,515210,国泰中证钢铁ETF,0.50%,0.10%,1.552,1.4856,≥ 60日均线,,0.0429,0.0431,-0.0003,
2026-02-12,510230,国泰上证180金融ETF,0.50%,0.10%,1.359,1.3884,< 60日均线,,0.001,0.0069,-0.0119,
2026-02-12,159801,广发国证半导体芯片ETF,0.50%,0.10%,0.959,0.8963,≥ 60日均线,,0.059,0.0566,0.0049,
2026-02-12,159218,招商中证卫星产业ETF,0.50%,0.10%,1.888,1.6779,≥ 60日均线,,0.2288,0.1843,0.0889,
2026-02-12,515300,嘉实沪深300红利低波动ETF,0.50%,0.10%,1.306,1.3064,< 60日均线,下穿60日均线,-0.0186,-0.0179,-0.0014,
2026-02-12,560530,摩根中证A500ETF,0.15%,0.05%,1.264,1.2159,≥ 60日均线,,0.0439,0.0435,0.0009,
2026-02-12,513860,海富通中证港股通科技ETF,0.50%,0.10%,0.705,0.7356,< 60日均线,,-0.0106,-0.0015,-0.0182,
2026-02-12,159993,鹏华国证证券龙头ETF,0.50%,0.10%,1.275,1.2985,< 60日均线,,0.0033,0.012,-0.0175,
2026-02-12,159115,华安中证AAA科技创新公司债ETF,0.15%,0.05%,100.65,100.2257,≥ 60日均线,,,,,
2026-02-12,510100,易方达上证50ETF,0.15%,0.05%,3.082,3.03,≥ 60日均线,,0.0755,0.0958,-0.0406,
2026-02-12,159611,广发中证全指电力公用事业ETF,0.50%,0.10%,1.037,1.0293,≥ 60日均线,上穿60日均线,0.0069,0.0093,-0.0049,
2026-02-12,515030,华夏中证新能源汽车ETF,0.50%,0.10%,1.895,1.8466,≥ 60日均线,,0.0978,0.1144,-0.0334,
2026-02-12,510580,易方达中证500ETF,0.15%,0.05%,4.354,3.9522,≥ 60日均线,,0.2593,0.2237,0.0711,
2026-02-12,588290,华安上证科创板芯片ETF,0.15%,0.05%,2.627,2.4044,≥ 60日均线,,0.1892,0.1809,0.0166,
